MONITOR_IOCTL_ENABLE_MONITOR 00120004
IOCTL_PAR_GET_READ_ADDRESS 00160038
IOCTL_PAR_GET_WRITE_ADDRESS 0016003C
IOCTL_PAR_TEST 00160050
IOCTL_PAR_IS_PORT_FREE 00160054
IOCTL_PAR_QUERY_LOCATION 00160058
IOCTL_SCSI_PASS_THROUGH 0004D004
IOCTL_SCSI_MINIPORT 0004D008
IOCTL_SCSI_GET_INQUIRY_DATA 0004100C
IOCTL_SCSI_GET_CAPABILITIES 00041010
IOCTL_SCSI_PASS_THROUGH_DIRECT 0004D014
IOCTL_SCSI_GET_ADDRESS 00041018
IOCTL_SCSI_RESCAN_BUS 0004101C
IOCTL_SCSI_GET_DUMP_POINTERS 00041020
IOCTL_SCSI_FREE_DUMP_POINTERS 00041024
IOCTL_IDE_PASS_THROUGH 0004D028
IOCTL_ATA_PASS_THROUGH 0004D02C
IOCTL_ATA_PASS_THROUGH_DIRECT 0004D030
IOCTL_ATA_MINIPORT 0004D034
IOCTL_MINIPORT_PROCESS_SERVICE_IRP 0004D038
IOCTL_MPIO_PASS_THROUGH_PATH 0004D03C
IOCTL_MPIO_PASS_THROUGH_PATH_DIRECT 0004D040
IOCTL_SERIAL_SET_BAUD_RATE 001B0004
IOCTL_SERIAL_SET_QUEUE_SIZE 001B0008
IOCTL_SERIAL_SET_LINE_CONTROL 001B000C
IOCTL_SERIAL_SET_BREAK_ON 001B0010
IOCTL_SERIAL_SET_BREAK_OFF 001B0014
IOCTL_SERIAL_IMMEDIATE_CHAR 001B0018
IOCTL_SERIAL_SET_TIMEOUTS 001B001C
IOCTL_SERIAL_GET_TIMEOUTS 001B0020
IOCTL_SERIAL_SET_DTR 001B0024
IOCTL_SERIAL_CLR_DTR 001B0028
IOCTL_SERIAL_RESET_DEVICE 001B002C
IOCTL_SERIAL_SET_RTS 001B0030
IOCTL_SERIAL_CLR_RTS 001B0034
IOCTL_SERIAL_SET_XOFF 001B0038
IOCTL_SERIAL_SET_XON 001B003C
IOCTL_SERIAL_GET_WAIT_MASK 001B0040
IOCTL_SERIAL_SET_WAIT_MASK 001B0044
IOCTL_SERIAL_WAIT_ON_MASK 001B0048
IOCTL_SERIAL_PURGE 001B004C
IOCTL_SERIAL_GET_BAUD_RATE 001B0050
IOCTL_SERIAL_GET_LINE_CONTROL 001B0054
IOCTL_SERIAL_GET_CHARS 001B0058
IOCTL_SERIAL_SET_CHARS 001B005C
IOCTL_SERIAL_GET_HANDFLOW 001B0060
IOCTL_SERIAL_SET_HANDFLOW 001B0064
IOCTL_SERIAL_GET_MODEMSTATUS 001B0068
IOCTL_SERIAL_GET_COMMSTATUS 001B006C
IOCTL_SERIAL_XOFF_COUNTER 001B0070
IOCTL_SERIAL_GET_PROPERTIES 001B0074
IOCTL_SERIAL_GET_DTRRTS 001B0078
IOCTL_SERIAL_LSRMST_INSERT 001B007C
IOCTL_SERENUM_EXPOSE_HARDWARE 00370200
IOCTL_SERENUM_REMOVE_HARDWARE 00370204
IOCTL_SERENUM_PORT_DESC 00370208
IOCTL_SERENUM_GET_PORT_NAME 0037020C
IOCTL_SERIAL_CONFIG_SIZE 001B0080
IOCTL_SERIAL_GET_COMMCONFIG 001B0084
IOCTL_SERIAL_SET_COMMCONFIG 001B0088
IOCTL_SERIAL_GET_STATS 001B008C
IOCTL_SERIAL_CLEAR_STATS 001B0090
IOCTL_SERIAL_GET_MODEM_CONTROL 001B0094
IOCTL_SERIAL_SET_MODEM_CONTROL 001B0098
IOCTL_SERIAL_SET_FIFO_CONTROL 001B009C
IOCTL_SERIAL_INTERNAL_DO_WAIT_WAKE 001B0004
IOCTL_SERIAL_INTERNAL_CANCEL_WAIT_WAKE 001B0008
IOCTL_SERIAL_INTERNAL_BASIC_SETTINGS 001B000C
IOCTL_SERIAL_INTERNAL_RESTORE_SETTINGS 001B0010
IOCTL_STORAGE_CHECK_VERIFY 002D4800
IOCTL_STORAGE_CHECK_VERIFY2 002D0800
IOCTL_STORAGE_MEDIA_REMOVAL 002D4804
IOCTL_STORAGE_EJECT_MEDIA 002D4808
IOCTL_STORAGE_LOAD_MEDIA 002D480C
IOCTL_STORAGE_LOAD_MEDIA2 002D080C
IOCTL_STORAGE_RESERVE 002D4810
IOCTL_STORAGE_RELEASE 002D4814
IOCTL_STORAGE_FIND_NEW_DEVICES 002D4818
IOCTL_STORAGE_EJECTION_CONTROL 002D0940
IOCTL_STORAGE_MCN_CONTROL 002D0944
IOCTL_STORAGE_GET_MEDIA_TYPES 002D0C00
IOCTL_STORAGE_GET_MEDIA_TYPES_EX 002D0C04
IOCTL_STORAGE_GET_MEDIA_SERIAL_NUMBER 002D0C10
IOCTL_STORAGE_GET_HOTPLUG_INFO 002D0C14
IOCTL_STORAGE_SET_HOTPLUG_INFO 002DCC18
IOCTL_STORAGE_RESET_BUS 002D5000
IOCTL_STORAGE_RESET_DEVICE 002D5004
IOCTL_STORAGE_BREAK_RESERVATION 002D5014
IOCTL_STORAGE_PERSISTENT_RESERVE_IN 002D5018
IOCTL_STORAGE_PERSISTENT_RESERVE_OUT 002DD01C
IOCTL_STORAGE_GET_DEVICE_NUMBER 002D1080
IOCTL_STORAGE_PREDICT_FAILURE 002D1100
IOCTL_STORAGE_READ_CAPACITY 002D5140
IOCTL_STORAGE_QUERY_PROPERTY 002D1400
IOCTL_STORAGE_MANAGE_DATA_SET_ATTRIBUTES 002D9404
IOCTL_STORAGE_GET_BC_PROPERTIES 002D5800
IOCTL_STORAGE_ALLOCATE_BC_STREAM 002DD804
IOCTL_STORAGE_FREE_BC_STREAM 002DD808
IOCTL_STORAGE_CHECK_PRIORITY_HINT_SUPPORT 002D1880
OBSOLETE_IOCTL_STORAGE_RESET_BUS 002DD000
OBSOLETE_IOCTL_STORAGE_RESET_DEVICE 002DD004
IOCTL_TAPE_ERASE 001FC000
IOCTL_TAPE_PREPARE 001F4004
IOCTL_TAPE_WRITE_MARKS 001FC008
IOCTL_TAPE_GET_POSITION 001F400C
IOCTL_TAPE_SET_POSITION 001F4010
IOCTL_TAPE_GET_DRIVE_PARAMS 001F4014
IOCTL_TAPE_SET_DRIVE_PARAMS 001FC018
IOCTL_TAPE_GET_MEDIA_PARAMS 001F401C
IOCTL_TAPE_SET_MEDIA_PARAMS 001F4020
IOCTL_TAPE_GET_STATUS 001F4024
IOCTL_TAPE_CREATE_PARTITION 001FC028
IOCTL_TAPE_MEDIA_REMOVAL 001F4804
IOCTL_TAPE_EJECT_MEDIA 001F4808
IOCTL_TAPE_LOAD_MEDIA 001F480C
IOCTL_TAPE_RESERVE 001F4810
IOCTL_TAPE_RELEASE 001F4814
IOCTL_TAPE_CHECK_VERIFY 001F4800
IOCTL_TAPE_FIND_NEW_DEVICES 00074818
IOCTL_VOLUME_GET_VOLUME_DISK_EXTENTS 00560000
IOCTL_VOLUME_ONLINE 0056C008
IOCTL_VOLUME_OFFLINE 0056C00C
IOCTL_VOLUME_IS_CLUSTERED 00560030
IOCTL_VOLUME_GET_GPT_ATTRIBUTES 00560038
IOCTL_VOLUME_SUPPORTS_ONLINE_OFFLINE 00560004
IOCTL_VOLUME_IS_OFFLINE 00560010
IOCTL_VOLUME_IS_IO_CAPABLE 00560014
IOCTL_VOLUME_QUERY_FAILOVER_SET 00560018
IOCTL_VOLUME_QUERY_VOLUME_NUMBER 0056001C
IOCTL_VOLUME_LOGICAL_TO_PHYSICAL 00560020
IOCTL_VOLUME_PHYSICAL_TO_LOGICAL 00560024
IOCTL_VOLUME_IS_PARTITION 00560028
IOCTL_VOLUME_READ_PLEX 0056402E
IOCTL_VOLUME_SET_GPT_ATTRIBUTES 00560034
IOCTL_VOLUME_GET_BC_PROPERTIES 0056403C
IOCTL_VOLUME_ALLOCATE_BC_STREAM 0056C040
IOCTL_VOLUME_FREE_BC_STREAM 0056C044
IOCTL_VOLUME_IS_DYNAMIC 00560048
IOCTL_VOLUME_PREPARE_FOR_CRITICAL_IO 0056C04C
IOCTL_VOLUME_QUERY_ALLOCATION_HINT 00564052
IOCTL_VOLUME_UPDATE_PROPERTIES 00560054
IOCTL_VOLUME_QUERY_MINIMUM_SHRINK_SIZE 00564058
IOCTL_VOLUME_PREPARE_FOR_SHRINK 0056C05C
IOCTL_PMI_GET_CAPABILITIES 00454000
IOCTL_PMI_GET_CONFIGURATION 00454004
IOCTL_PMI_SET_CONFIGURATION 00458008
IOCTL_PMI_GET_MEASUREMENT 0045400C
IOCTL_PMI_REGISTER_EVENT_NOTIFY 0045C010
IOCTL_BIOMETRIC_VENDOR 00442000
